data,formato,fonte,cta,versao,tipo,alcance,views,curtidas,comentarios,salvamentos,compartilhamentos,interacoes,taxa_salvamento,gancho,link,media_id,atualizado
2026-09-21,manual,app,,,reels,,,83,0,,,,,Quem concorda respira 🤣,https://www.instagram.com/reel/DdjSf_oum-j/,17872583469650696,2026-09-22 06:12
2026-05-27,manual,app,,,reels,,,5,0,,,,,"A IA não vai tomar o seu lugar… mas a pessoa que aprendeu a operar a IA, vai. — Jensen Huang",https://www.instagram.com/reel/DY2bBJ7uCE8/,17924779611343226,2026-09-22 06:12
2026-05-27,manual,app,,,reels,,,7,0,,,,,Siga ➡️ @system.oasis,https://www.instagram.com/reel/DY12EwyxMn5/,18340605364171774,2026-09-22 06:12
